#Source: http://www.judicial.gov.tw/jfont/%E9%80%A0%E5%AD%97%E5%B0%8D%E7%85%A7%E8%A1%A8.pdf
01E000	016ECF
01E001	016DFB
01E235	019E90
01E238	016FD3
01E23A	010290C0
01E23B	0174D0
01E311	014E2A
01E312	0102F828
01E313	015DDB
01E314	015E7A
01E315	015E7F
01E316	014ECE
01E317	015186
01E318	0102F817
01E319	0153CC
01E31A	015721
01E31B	015F0C
01E31C	0165E0
01E31D	013430
01E31E	0153F6
01E31F	015727
01E320	01022052
01E321	015918
01E322	015B82
01E323	015E83
01E324	015F0D
01E325	016239
01E326	016C37
01E327	014E21
01E328	010200A2
01E329	014E98
01E32A	014F03
01E32B	014EEE
01E32C	0151B4
01E32D	0151B2
01E32E	015350
01E32F	01538B
01E330	0153D2
01E331	015413
01E332	0102F83B
01E333	0136A5
01E334	010216B1
01E335	016736
01E336	013CBB
01E337	016C5A
01E338	016C4E
01E339	01706F
01E33A	0102F835
01E33B	0172B2
01E33C	0102866B
01E33D	014F39
01E33E	014F32
01E33F	014F35
01E340	0151B5
01E341	015223
01E342	015226
01E343	01521F
01E344	015374
01E345	01544C
01E346	015432
01E347	01544B
01E348	015421
01E349	0156ED
01E34A	01575F
01E34B	015757
01E34C	015746
01E34D	015742
01E34E	015754
01E34F	0158F2
01E350	0156F1
01E351	015C2B
01E352	015C84
01E353	015DF5
01E354	015E0B
01E355	015E92
01E356	015F63
01E357	016282
01E358	016299
01E359	016285
01E35A	016744
01E35B	01674A
01E35C	016761
01E35D	016C9F
01E35E	016C56
01E35F	016CA2
01E360	016C79
01E361	016CAA
01E362	013CC2
01E363	01707E
01E364	017075
01E365	01707B
01E366	018091
01E367	01866C
01E368	018FB5
01E369	019629
01E36A	014F8A
01E36B	014F6D
01E36C	014F72
01E36D	0102F80F
01E36E	0151ED
01E36F	01523C
01E370	0152B9
01E371	015393
01E372	0153C1
01E373	0153C2
01E374	013578
01E375	01548F
01E376	015469
01E377	015494
01E378	01546A
01E379	0156FD
01E37A	015767
01E37B	01577F
01E37C	01577A
01E37D	0158F3
01E37E	01594B
01E37F	0159B0
01E380	0159C9
01E381	0159AC
01E382	0159B7
01E383	015C29
01E384	015C4A
01E385	01021D8C
01E386	015E12
01E387	015EF8
01E388	0138A0
01E389	015EF9
01E38A	0162D5
01E38B	0162A6
01E38C	0162C1
01E38D	0162C5
01E38E	01670C
01E38F	0167A3
01E390	01678F
01E391	0167F9
01E392	016B81
01E393	013CCB
01E394	016CEA
01E395	013CD1
01E396	016CCE
01E397	01708F
01E398	017089
01E399	017081
01E39A	01708C
01E39B	017240
01E39C	01739E
01E39D	0173AA
01E39E	0102233F
01E39F	0179C4
01E3A0	017C74
01E3A1	0180A4
01E3A2	01670C
01E3A3	0182AA
01E3A4	0182A6
01E3A5	018FCC
01E3A6	0102846C
01E3A7	01028468
01E3A8	019641
01E3A9	019638
01E3AA	0196B6
01E3AB	014FE3
01E3AC	01516A
01E3AD	0151C3
01E3AE	0152C5
01E3AF	0153DA
01E3B0	0153D9
01E3B1	0154A4
01E3B2	0154B2
01E3B3	0154CD
01E3B4	0136C4
01E3B5	0159EB
01E3B6	0159EF
01E3B7	0159F9
01E3B8	0159D9
01E3B9	015CD1
01E3BA	015EFC
01E3BB	015EFB
01E3BC	016023
01E3BD	016031
01E3BE	01604A
01E3BF	016630
01E3C0	01670E
01E3C1	0167D6
01E3C2	0167FE
01E3C3	0167B1
01E3C4	016BE1
01E3C5	016D24
01E3C6	0170BB
01E3C7	0170A0
01E3C8	0170B9
01E3C9	01723C
01E3CA	0172E2
01E3CB	0173CF
01E3CC	0173C9
01E3CD	017546
01E3CE	01754A
01E3CF	0177E6
01E3D0	0179D4
01E3D1	017A7D
01E3D2	017AD3
01E3D3	017AFC
01E3D4	018109
01E3D5	0180C6
01E3D6	0182F7
01E3D7	0182D0
01E3D8	01830B
01E3D9	0182FD
01E3DA	01460F
01E3DB	018842
01E3DC	0190C4
01E3DD	014FF2
01E3DE	015008
01E3DF	01502E
01E3E0	015038
01E3E1	014FFD
01E3E2	015056
01E3E3	0151A6
01E3E4	0151C9
01E3E5	015260
01E3E6	015257
01E3E7	0152D1
01E3E8	0154F5
01E3E9	0157C8
01E3EA	0157C4
01E3EB	0157CA
01E3EC	015A2A
01E3ED	015A24
01E3EE	015A26
01E3EF	015C05
01E3F0	015CE9
01E3F1	015CEF
01E3F2	015E2E
01E3F3	01609E
01E3F4	0160A7
01E3F5	0139F1
01E3F6	016335
01E3F7	016646
01E3F8	01664B
01E3F9	016648
01E3FA	013AE7
01E3FB	016822
01E3FC	013B5F
01E3FD	016D72
01E3FE	016D5C
01E3FF	016D96
01E400	0170DF
01E401	0170D6
01E402	0170D5
01E403	0172F5
01E404	017302
01E405	0173F9
01E406	0173E1
01E407	013F0C
01E408	013F4D
01E409	0175C3
01E40A	0175B4
01E40B	0175B1
01E40C	01024F59
01E40D	0176CC
01E40E	01772B
01E40F	017724
01E410	01771E
01E411	017959
01E412	017962
01E413	01025792
01E414	017ADA
01E415	017ADD
01E416	017B0B
01E417	017B14
01E418	017C86
01E419	017C83
01E41A	017F93
01E41B	017F99
01E41C	017F97
01E41D	0143B4
01E41E	01803B
01E41F	018103
01E420	018107
01E421	0102F983
01E422	0141E2
01E423	01886E
01E424	018FF9
01E425	019008
01E426	019151
01E427	019585
01E428	0196BD
01E429	015079
01E42A	01506C
01E42B	0151D1
01E42C	01532C
01E42D	0153A0
01E42E	0153C4
01E42F	015549
01E430	01552B
01E431	013647
01E432	0157DD
01E433	0157DE
01E434	0157E6
01E435	015803
01E436	01591F
01E437	015A2B
01E438	0136E9
01E439	015A2C
01E43A	015A59
01E43B	015A63
01E43C	015BC3
01E43D	015D10
01E43E	013935
01E43F	0160E7
01E440	013949
01E441	01636C
01E442	01637F
01E443	01654D
01E444	0165AD
01E445	0102F8CB
01E446	016667
01E447	0168B6
01E448	016898
01E449	01686C
01E44A	016B35
01E44B	016DB9
01E44C	016E0A
01E44D	016DB1
01E44E	016E02
01E44F	016E09
01E450	0170F1
01E451	013E18
01E452	017310
01E453	0173F3
01E454	017567
01E455	017690
01E456	0176D7
01E457	0176D6
01E458	017726
01E459	017740
01E45A	017A9A
01E45B	017A93
01E45C	017A91
01E45D	017B1F
01E45E	01801D
01E45F	01811A
01E460	018117
01E461	018391
01E462	01839F
01E463	018385
01E464	01026BC9
01E465	018845
01E466	01889C
01E467	0188A0
01E468	018991
01E469	018994
01E46A	018A2B
01E46B	018716
01E46C	018CAD
01E46D	018D7A
01E46E	018EAD
01E46F	01900E
01E470	01489B
01E471	019159
01E472	0148ED
01E473	0198E6
01E474	01347A
01E475	015160
01E476	0151D3
01E477	0151D6
01E478	015273
01E479	0153A8
01E47A	0153A6
01E47B	015586
01E47C	015826
01E47D	01583A
01E47E	0158FB
01E47F	015963
01E480	015A81
01E481	015A96
01E482	015C5E
01E483	015D57
01E484	015D53
01E485	015D46
01E486	015E47
01E487	015FA7
01E488	015FA4
01E489	0160EA
01E48A	0160B3
01E48B	0160E3
01E48C	0160E9
01E48D	0160FD
01E48E	016121
01E48F	0139B8
01E490	0163F8
01E491	0163D1
01E492	0163FA
01E493	01671E
01E494	01671C
01E495	0168CA
01E496	016900
01E497	016901
01E498	0168C3
01E499	016B6E
01E49A	016E18
01E49B	016E4F
01E49C	016E76
01E49D	0204385C
01E49E	017134
01E49F	017124
01E4A0	0102426C
01E4A1	017282
01E4A2	017287
01E4A3	01732A
01E4A4	01732C
01E4A5	01732B
01E4A6	017328
01E4A7	01741F
01E4A8	01743C
01E4A9	0173F7
01E4AA	017439
01E4AB	01758E
01E4AC	017866
01E4AD	017976
01E4AF	017CA6
01E4B0	017D64
01E4B1	017D5A
01E4B2	017D5D
01E4B3	017D4D
01E4B4	017FD3
01E4B5	018148
01E4B6	0181EF
01E4B7	0181F6
01E4B8	018204
01E4B9	018418
01E4BA	018417
01E4BB	0183D3
01E4BC	0144E4
01E4BD	0183BE
01E4BE	0188B5
01E4BF	018A49
01E4C0	018C7F
01E4C1	018D82
01E4C2	018DD4
01E4C3	018DC9
01E4C4	01027FF9
01E4C5	0102851B
01E4C6	0191FE
01E4C7	01920E
01E4C8	019681
01E4C9	01975F
01E4CA	01976D
01E4CB	014EB7
01E4CC	0150CD
01E4CD	0152E1
01E4CE	0152E0
01E4CF	0153AB
01E4D0	0153AA
01E4D1	0153E0
01E4D2	0155EA
01E4D3	0135DA
01E4D4	0135D6
01E4D5	015869
01E4D6	01585F
01E4D7	015AC5
01E4D8	015AC3
01E4D9	015AD0
01E4DA	015BD7
01E4DB	013766
01E4DC	015C20
01E4DD	016130
01E4DE	013966
01E4DF	013A2A
01E4E0	016447
01E4E1	01643A
01E4E2	0165E4
01E4E3	01668E
01E4E4	013BA3
01E4E5	016973
01E4E6	016955
01E4E7	016967
01E4E8	016EA8
01E4E9	016ED9
